Metric,Value
STOI Noisy (L),0.4481020112122808
STOI Enhanced (L),0.5768245235085487
STOI Improvement (L),0.1287225122962679
STOI Noisy (R),0.33639401224042687
STOI Enhanced (R),0.4216019838516201
STOI Improvement (R),0.08520797161119326
MBSTOI Noisy,0.30795432518609367
MBSTOI Enhanced,0.4090710621621597
MBSTOI Improvement,0.10111673697606605
SegSNR Noisy (L),-6.7325883378068925
SegSNR Enhanced (L),-9.928228675156891
SegSNR Improvement (L),-3.1956403373499986
SegSNR Noisy (R),-7.617055529268893
SegSNR Enhanced (R),-9.948459189560248
SegSNR Improvement (R),-2.331403660291355
ILD Error,6.1311396150769495
IPD Error,43.118241403802166
