stoi_noisy_l,stoi_noisy_r,stoi_enhanced_l,stoi_enhanced_r,mbstoi_noisy,mbstoi_enhanced,pesq_noisy_l,pesq_noisy_r,pesq_enhanced_l,pesq_enhanced_r,snr_noisy_l,snr_noisy_r,snr_enhanced_l,snr_enhanced_r,ild_error,ipd_error
0.38299933075904846,0.22798094153404236,0.5450563430786133,0.23702110350131989,0.473169499980518,0.37480596213270745,2.4100937843322754,1.8439362049102783,2.240713596343994,1.7779991626739502,-1.6024867234369433,-4.654479759060427,-9.15812299467603,-9.393493951694252,9.490201345213137,60.41943014334747
0.3808461129665375,0.3322793245315552,0.4514999985694885,0.39824503660202026,0.5200775969840145,0.5484079662143927,1.1038498878479004,1.0889649391174316,1.1417930126190186,1.1230567693710327,-7.069147824425984,-7.426512300534702,-9.89675026921845,-9.877346806285539,2.193045019788918,38.60265545230837
0.4312397241592407,0.4351775646209717,0.4336026906967163,0.43274810910224915,0.5014531514872476,0.46867915307826763,1.0453734397888184,1.0448342561721802,1.0724906921386719,1.0695898532867432,-6.460529094995538,-6.268073449995285,-10.0,-10.0,1.8554234654423998,26.9714646260701
0.5764591097831726,0.29582279920578003,0.6102023124694824,0.2890898883342743,0.6321491470433421,0.5140833998999155,1.2089333534240723,1.0887185335159302,1.3357059955596924,1.1036086082458496,-4.481040927462013,-7.458407726355095,-9.60874139131854,-9.668154266211483,7.826198420039263,62.94467591737186
0.7309671640396118,0.46647724509239197,0.79262775182724,0.5916320085525513,0.9115566865614317,0.8288552040060868,1.2446153163909912,1.052097201347351,1.5826919078826904,1.0947035551071167,0.13825976000726842,-4.199121256625776,-9.792631916704895,-9.17143647491768,11.303572096327875,55.831962092615235
0.4193492531776428,0.09985624253749847,0.458479106426239,0.12358414381742477,0.9063246281557603,0.6993402724685679,1.3497297763824463,1.176292896270752,1.5517578125,1.2362399101257324,-5.520257297604963,-9.228527415297478,-9.987761216763033,-10.0,10.596246679327303,46.56766653133881
0.8841265439987183,0.8663322329521179,0.855744481086731,0.8347057104110718,0.9318427839692885,0.8313884060010226,1.5311052799224854,1.2618881464004517,1.7910571098327637,1.5141600370407104,4.391093124696369,3.598288211505605,-8.613081516162739,-8.613657285345678,3.478992293769197,31.935258992397593
0.8183742165565491,0.8248653411865234,0.8513675332069397,0.8581259250640869,0.8876994701837418,0.8765386334710643,1.2189548015594482,1.225400686264038,1.2538483142852783,1.2534947395324707,1.6774737492592067,2.065149169112405,-9.932090268297197,-9.84321580357057,2.521393737357211,18.58938726723704
0.6289233565330505,0.5605704188346863,0.8396885991096497,0.5698550939559937,0.8702294766592837,0.6980011326410798,1.5561237335205078,1.2523877620697021,1.8150027990341187,1.374244213104248,1.2932191519278422,-1.226576427166088,-7.3308817928004135,-7.763497500772487,5.672228135711225,56.66334595688571
0.16139912605285645,0.13174587488174438,0.18939851224422455,0.19157938659191132,0.2404048440215777,0.22892242145623176,2.559683084487915,1.872544527053833,2.5446345806121826,1.747532606124878,-5.976973674405682,-7.487883687532619,-9.982519678725222,-9.210282582970963,8.585513556634057,30.997870265572576
