stoi_noisy_l,stoi_noisy_r,stoi_enhanced_l,stoi_enhanced_r,mbstoi_noisy,mbstoi_enhanced,snr_noisy_l,snr_noisy_r,snr_enhanced_l,snr_enhanced_r,ild_error,ipd_error,clean_path,noisy_path
0.35906875133514404,0.3698454797267914,0.5075945258140564,0.4708293676376343,0.3489918998438581,0.44873893158934547,-7.767668266750459,-7.682056682980219,-9.933515444232807,-9.923015868765068,2.9360642701235093,21.33988462825505,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p333_000300_az+036_el+00_d300_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p333_000300_az+036_el+00_d300_snr+00.wav
0.651739776134491,0.4476410746574402,0.6932160258293152,0.5862840414047241,0.35405137140418397,0.5816206116662702,-4.662560294018878,-7.5248151981935525,-9.915947025335145,-9.8775734969899,7.8045050012425445,76.7184756047051,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p236_000089_az-025_el+00_d300_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p236_000089_az-025_el+00_d300_snr+00.wav
0.5245154500007629,0.5458163619041443,0.6464725136756897,0.6466307640075684,0.5230098238137157,0.6079885428501034,-5.833076650810429,-5.728350026704596,-9.932022727225982,-9.929429477943588,2.340875024452269,17.24949383802817,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p274_000345_az+073_el+00_d080_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p274_000345_az+073_el+00_d080_snr+00.wav
0.5150521993637085,0.5179321765899658,0.7126493453979492,0.7269797921180725,0.5149626959184093,0.6672686810492096,-7.366786607495342,-7.304030949207564,-9.96086841680781,-9.96914507717673,2.5681252756905573,20.27052658797761,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p362_000113_az+000_el+00_d080_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p362_000113_az+000_el+00_d080_snr+00.wav
0.4729052186012268,0.4895723760128021,0.6644071936607361,0.6955359578132629,0.4856128147450832,0.6182015075289288,-7.273637000795121,-7.172431109602573,-9.97708528403992,-9.984040122596124,2.8771787155090927,21.517362205167448,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p251_000010_az+045_el+00_d300_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p251_000010_az+045_el+00_d300_snr+00.wav
0.631411612033844,0.2888205051422119,9.999999747378752e-06,0.6782462000846863,0.22675446567518032,0.7087899151736975,-5.74945391384091,-8.40635950754737,-9.875385306066123,-9.918554874280401,8.942991409720408,67.18078374052783,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p284_000147_az-030_el+00_d080_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p284_000147_az-030_el+00_d080_snr+00.wav
0.6707096099853516,0.6872255802154541,0.7301105260848999,0.7427526712417603,0.646223862791451,0.6759882579699763,-5.251875931995493,-5.097720618325156,-9.875193971698971,-9.893345553895768,2.7752550396048417,21.733023317906728,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p283_000136_az+081_el+00_d080_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p283_000136_az+081_el+00_d080_snr+00.wav
0.5379542708396912,0.5493676662445068,0.6189678311347961,0.667988657951355,0.5226307505581531,0.607493758099799,-7.34274731273589,-7.260952798968509,-9.991597765973138,-9.997342577485647,3.087225134852488,24.045409511228534,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p280_000072_az+026_el+00_d080_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p280_000072_az+026_el+00_d080_snr+00.wav
0.5616198182106018,0.22486381232738495,0.7190682291984558,0.3097400665283203,0.17582679321386432,0.3867087058498922,-6.038290171461106,-8.978298769544018,-9.9659896576623,-9.985069163968678,10.950719747340425,83.80613696808511,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p297_000418_az-047_el+00_d300_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p297_000418_az-047_el+00_d300_snr+00.wav
0.4709506034851074,0.47464343905448914,0.6380078792572021,0.6222401857376099,0.45912569849324597,0.5848978875143647,-7.371516633415274,-7.24931531395185,-9.96701200592103,-9.978778258844528,2.7796300310659747,19.728810572412417,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p343_000353_az+079_el+00_d300_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p343_000353_az+079_el+00_d300_snr+00.wav
0.40648508071899414,0.09877932816743851,0.6942422986030579,0.09991756826639175,0.07543636818615909,0.22049950831166337,-5.6992950431587985,-9.110546850311858,-9.863973508131936,-9.958281756481949,14.284403736299462,62.94695104960059,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p299_000309_az-071_el+00_d080_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p299_000309_az-071_el+00_d080_snr+00.wav
0.5409218072891235,0.5436322093009949,0.6028038859367371,0.6031116843223572,0.529483693893008,0.56052934686422,-5.960059315586563,-5.903672757306208,-9.952217430448393,-9.956298257883438,2.9049488072845415,23.37776685286518,./DCNN/datasets/DATASET//clean_testset_1f/SNR_0dB/p262_000383_az+047_el+00_d080_snr+00.wav,DCNN/datasets/DATASET/noisy_testset_1f/SNR_0dB/p262_000383_az+047_el+00_d080_snr+00.wav
